"Ticks","placeholder","Changers","Stayers"
600,,940000,948290.3707512222
601,,940000,952886.2483735713
602,,953306.2222222222,951146.7591509537
603,,940000,953256.0269264609
604,,955269.7777777778,943189.6685275143
605,,940000,953776.6845275718
606,,940000,952629.9333627908
607,,954288,950153.4855184988
608,,940000,945938.8319030594
609,,955269.7777777778,946077.4517345472
610,,958803.5302222222,945791.0812349885
611,,963993.0232528888,953103.2110919419
612,,940000,967299.047572504
613,,944470.2222222222,975563.2854275403
614,,957255.4964444445,957523.3553022132
615,,940000,959123.2514232495
616,,950360.8888888889,961754.0865300337
617,,940000,961722.7643703719
618,,950360.8888888889,964866.364037273
619,,957568.0777777778,952091.8926757649
620,,940000,952194.9341747488
621,,953306.2222222222,958397.596722765
622,,940000,967123.7309138912
623,,940000,960656.6554792303
624,,940000,963781.0779501494
625,,953306.2222222222,954724.053286548
626,,960613.5524444444,957085.5088894384
627,,940000,953221.9039304183
628,,944470.2222222222,952337.2884579943
629,,940000,953560.5194867882
630,,940000,950467.1493984172
631,,949379.1111111111,957196.745996111
632,,944960.4635555553,964878.3065867819
633,,960930.3287262222,964798.4645289573
634,,940000,960309.0629467787
635,,940000,954377.0879272298
636,,957233.3333333334,956632.6689500544
637,,963247.4533333335,953595.6405108102
638,,940000,951046.7158877886
639,,940000,956493.9722422803
640,,940000,954228.697066087
641,,951342.6666666666,951920.2366089697
642,,958107.6586666667,963156.6115886479
643,,940000,955262.3896423702
644,,944470.2222222222,955239.872844921
645,,951934.8457777777,962805.9413271993
646,,954870.2434991113,958916.2956058168
647,,940000,946217.3473498956
648,,940000,951183.3748563152
649,,940000,956636.7927537807
650,,940000,947630.0597429671
651,,940000,953878.1864668463
652,,940000,944999.4748932887
653,,940000,946563.5133618296
654,,952324.4444444445,956286.0733986123
655,,960091.8315555558,955919.5478666648
656,,956642.0551391111,953121.0756512637
657,,940000,959013.1106315859
658,,940000,953987.0731298404
659,,940000,955744.699083232
660,,946433.7777777778,960620.8806283538
661,,940000,958882.0937093379
662,,950360.8888888889,952987.3425835597
663,,944548.8897777777,957987.4193164713
664,,940000,964080.1834938666
665,,956251.5555555555,959102.1568444353
666,,940000,953097.6751983165
667,,940000,947088.6966039715
668,,942506.6666666666,951184.9941230091
669,,946028.4706666669,944268.5729414256
670,,940000,947375.0517806881
671,,940000,947500.8878244256
672,,940000,955494.4604527403
673,,952324.4444444445,956371.3200104358
674,,952851.0115555556,954900.3472525037
675,,955820.7008528886,954434.5226859797
676,,940000,955729.8866607391
677,,940000,947794.7398890168
678,,940000,946234.630003829
679,,946433.7777777778,945080.9187089216
680,,958810.2355555559,943150.5174903895
681,,940000,950680.0224879395
682,,940000,947342.9249461984
683,,950360.8888888889,950669.7358637379
684,,940000,954756.9372149255
685,,940000,950345.6925491992
686,,952324.4444444445,958032.5993513273
687,,946121.4888888889,953926.4744373319
688,,952418.4007866664,948054.0878996163
689,,958819.8965705987,950869.0651102118
690,,940000,951086.6026590061
691,,940000,957688.284509637
692,,945452,957429.5088403394
693,,957283.7800000001,955968.0072308813
694,,940000,947277.6590020111
695,,950360.8888888889,946858.5813582304
696,,952758.7244444445,950439.541024051
697,,956404.6313386665,955266.8967800605
698,,965118.3787111584,951753.1171866843
699,,968046.207027728,953578.5398156027
700,,967530.8737187868,962630.0303927507
701,,940000,954100.0264066583
702,,940000,960095.9529189799
703,,940000,962157.6311702868
704,,951342.6666666666,962349.2586300647
705,,952804.8679999999,960946.667270493
706,,961861.4943555555,958200.5675202466
707,,960908.6615080168,969833.7312544317
708,,940000,953423.1804664943
709,,940000,953143.5124634665
710,,950360.8888888889,961497.2453218034
711,,940000,962403.0361783163
712,,940000,955117.1083026242
713,,940000,958412.17609727
714,,940000,965744.472806731
715,,940000,959504.4838537137
716,,947415.5555555555,956888.4421385211
717,,940000,954473.3631004526
718,,940000,957696.7963835323
719,,957233.3333333334,957600.7682837486
720,,940000,952343.9618603402
721,,955269.7777777778,952805.5036811876
722,,951562.7102222223,951742.0257942682
723,,940000,953873.2357311778
